id,text,user_id,pre_lab
1124999297517412353,RT @krstdt: Die @PolizeiSachsen hat die Bekleidung der Schüler im linken Bild als Uniformierung gewertet. Die Bekleidung der Nazis rechts h…,3049271385,0
1124997498177826816,@thzoern @Dr_Huettl Der gibt nichts ab. Nicht mal den Löffel.,864576780010737665,0
1124994968999858176,"@dabiggapicta @twitpatli @operationlibero Stimmt, es gibt auch richtige Probleme und nicht nur Knarren. https://t.co/DjpttvHxQz",81061781,0
1125005526054707200,@aufklaerer2017 @SawsanChebli @HeikoMaas Sie ist die bundesdeutsche Geheimwaffe gegen den Allahkultus😂,911321129981239296,0
1124999989590147075,"RT @Atomreisfleisch: @jacky_lope Und man hört diese ganzen Elektro-Dinger nicht. Ich stelle mich schon heute auf das Geheule ein, wenn Leut…",954663194655633408,0
1124996290209775616,@MaxScurScur ER SAH IMMER AUS WIE EIN HUND IHR DUMMEN HURENSÖHNE ICH HASSE UECH,1001072769671548928,0
1125003542165692416,RT @_Foseti_: diese ökonazis kotzen mich maximal an... https://t.co/qEFUlX2Es4,3632166437,0
1124994469881839616,@Anabell2301 Willkommen zurück.,960904487966830593,0
1125010697648312321,"Scheiß auf Evoli :0 Wir starten mit Zelda Majoras Mask durch&lt;3

Schaut gerne vorbei wir starten jetzt :) https://t.co/Hr54Myg39S",3294005493,0
1125017937000194049,@einfach_sam Einfach nur so 😬,2553227370,0
1125021628004544512,@Stefan_K__ @Beatrix_vStorch Die türkischen Döner in der Türkei mit Dicherheit. Die deutsche Variante bleibt aber die deutsche Variante.,777046379608805376,0
1125013298100035584,"RT @aufklaerer2017: Was soll man zu @sawsanchebli von der @spdberlin noch sagen ? Wenn sie Tweetet, warte einfach, bis sie sich selbst wide…",762247143566483457,0
1125011813337305088,"RT @Heiko31086906: Deutschland und die Deutschen sind  scheiße, alles scheiße, alles Nazis.
Warum sei ihr dann in diesem unser Land!
Richte…",93457923,0
1125010013955788800,"RT @Glockto: Wenn ich Blumenkohl zubereite, muss ich immer vorstellen, dass ich ein Gehirn seziere.

""Und das, werte Kolleginnen und Kolleg…",1107003349671526400,0
1125010085271543809,"RT @itsdytto: Wisst ihr noch damals 1933 als alle so nett waren zu den Nazis und sie so sehr unterstützten, dass sie sich einfach in Luft a…",917728753,0
1125008478857256962,RT @masyaf_sy: Das halte ich für groben Unfug. Oder die Propaganda der Öffentlich-Rechtlichen ist effektiver und die Deutschen als Ganzes s…,822747970554761217,0
1125012287289425921,RT @krstdt: Die @PolizeiSachsen hat die Bekleidung der Schüler im linken Bild als Uniformierung gewertet. Die Bekleidung der Nazis rechts h…,3970177455,0
1125011410667409408,RT @krstdt: Die @PolizeiSachsen hat die Bekleidung der Schüler im linken Bild als Uniformierung gewertet. Die Bekleidung der Nazis rechts h…,1130916246,0
1125019207882686465,"Ich könnte so in strahlen kotzen, 2 Leute aus meinem Jahrgang stellen sich als Kanidaten für den Bürgerrat auf und gehören zur AfD",2607312127,0
1125099168077418496,@Loay_Mudhoon @raz_u @SPIEGELONLINE Weil islam andres nicht kennt...,3428665060,0
1125110689855692802,Stimmt mal bitte für Clip 1 ab Boyys!!!❤,1003014885893201921,0
1125106688464433157,"RT @Teutonis52: Wisst Ihr grünen Verbrecher, was Ihr uns könnt?

https://t.co/uJcx9F6D0s",907382831130857472,0
1125098345997983744,"RT @MWinteron: So, wie die Merkel - Regierung, incl. des größten Teils der sog. Opposition, Deutschland in die Scheiße geritten hat, müßte…",1027087573406167041,0
1125098379569242112,"Retweet wenn ich mich auf dein Gesicht setzen  darf 💦❤👅

#sexy #nude #young #wild #Germany #Arsch #Ass #findom… https://t.co/SVfn9hHvh9",1099140824204541953,0
1125099851748868096,RT @HolgerEwald1: Imam warnt den Westen: „Hört auf uns. Wir gemäßigten Moslems können Euch bald nicht mehr helfen“ https://t.co/MvgcvUiXm0…,736867369931407360,0
1125099910469160960,mei und brigitte sind einfach nur broken :-),757953010689576960,0
1125098262136889344,RT @DeepStateExpose: Angela Merkel's Hitler/Rothschild lineage. https://t.co/qQBFvruc1w,58808497,0
1125103433713901569,@tagesschau Einen Scheiss wünsche ich denen!,23807981,0
1125107627992731648,"RT @AliceWo18626168: Schlagabtausch zwischen Schulz und Gauland ► ,,Das ist nicht mein Niveau https://t.co/5B1s8nte9R",3664826895,0
1125103718905655297,"RT @pu_zucker: Wieviele Nazis braucht man um eine Glühbirne zu wechseln?

Keinen, niemand braucht Nazis.",600335233,0
1125112736684367872,"RT @zickenalarm1900: Diese Weiber kotzen mich nur noch an.
Ich habe mein ganzes Leben als Frau und Mutter nie unter einer Knute gelebt.
Daf…",990242146174332928,0
1125106994657021952,@tagesschau Allen ein fröhliches Allahu Akbert.,723103971095646210,0
